alias,code,name,version,useInEditor,hero,item,sort,race,checkDep,levels,reqLevel,levelSkip,priority,targs1,Cast1,Dur1,HeroDur1,Cool1,Cost1,Area1,Rng1,DataA1,DataB1,DataC1,DataD1,DataE1,DataF1,DataG1,DataH1,DataI1,UnitID1,BuffID1,EfctID1,targs2,Cast2,Dur2,HeroDur2,Cool2,Cost2,Area2,Rng2,DataA2,DataB2,DataC2,DataD2,DataE2,DataF2,DataG2,DataH2,DataI2,UnitID2,BuffID2,EfctID2,targs3,Cast3,Dur3,HeroDur3,Cool3,Cost3,Area3,Rng3,DataA3,DataB3,DataC3,DataD3,DataE3,DataF3,DataG3,DataH3,DataI3,UnitID3,BuffID3,EfctID3,targs4,Cast4,Dur4,HeroDur4,Cool4,Cost4,Area4,Rng4,DataA4,DataB4,DataC4,DataD4,DataE4,DataF4,DataG4,DataH4,DataI4,UnitID4,BuffID4,EfctID4,InBeta
Agho,Agho,Ghost,0,1,0,0,unit,undead,1,1,0,0,0,_,0,0,0,0,0,-,-,1,1,0,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Aeth,Aeth,Ghost (Visible),0,1,0,0,unit,undead,1,1,0,0,0,_,0,0,0,0,0,-,-,1,1,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Agld,Agld,Gold Mine,0,1,0,0,unit,other,1,1,0,0,0,_,0,0,0,0,0,-,-,12500,1,1,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Agra,Agra,Grab Tree,1,1,0,0,unit,nightelf,1,1,0,0,0,tree,0,0,0,5,0,-,32,0.8,2.5,0,1,15,-,-,-,-,,Bgra,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Agyd,Agyd,Graveyard,0,1,0,0,unit,undead,1,1,0,0,0,_,0,0,0,15,0,-,-,5,200,250,-,-,-,-,-,-,ugho,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Agyb,Agyb,Gyrocopter Bombs,0,1,0,0,unit,human,1,1,0,0,0,_,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Assk,Assk,Hardened Skin,1,1,0,0,unit,nightelf,1,1,0,0,0,"enemy,ally",0,0,0,0,0,-,-,100,3,12,1,1,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Ansk,Assk,Hardened Skin(Naga Turtle),1,1,0,0,unit,naga,1,1,0,0,0,"enemy,ally",0,0,0,0,0,-,-,100,3,12,1,1,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,0
Ahar,Ahar,Harvest,0,1,0,0,unit,other,1,1,0,0,0,"tree,alive,dead",0,1.1,0,0,0,900,116,1,10,10,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
ANha,Ahar,Harvest (naga),0,1,0,0,unit,other,1,1,0,0,0,"tree,alive,dead",0,1,0,0,0,900,116,1.25,20,10,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,0
Ahrl,Ahrl,Harvest Lumber,0,1,0,0,unit,undead,1,1,0,0,0,"tree,alive,dead",0,1.35,0,0,0,900,116,2,20,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Ahr3,Ahrl,Harvest Lumber (shredder),0,1,0,0,unit,creeps,1,1,0,0,0,"tree,alive,dead",0,1.35,0,0,0,900,116,10,200,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Ahr2,Ahrl,Harvest Lumber (Arch ghouls),0,1,0,0,unit,creeps,1,1,0,0,0,"tree,alive,dead",0,1.35,0,0,0,900,116,5,50,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Ahea,Ahea,Heal,0,1,0,0,unit,human,1,1,0,0,0,"air,ground,friend,vuln,invu,self,organic,nonancient,neutral",0,0,0,1,5,-,250,25,-,-,-,-,-,-,-,-,,Bhea,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Anhe,Anhe,Heal (Creep Normal),0,1,0,0,unit,creeps,0,1,0,0,0,"air,ground,friend,vuln,invu,self,organic,nonancient,neutral",0,0,0,1,5,-,250,15,-,-,-,-,-,-,-,-,,Bhea,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Anh1,Anhe,Heal (Creep Normal),0,1,0,0,unit,creeps,0,1,0,0,0,"air,ground,friend,vuln,invu,self,organic,nonancient,neutral",0,0,0,1,5,-,250,12,-,-,-,-,-,-,-,-,,Bhea,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Anh2,Anhe,Heal (Creep High),0,1,0,0,unit,creeps,0,1,0,0,0,"air,ground,friend,vuln,invu,self,organic,nonancient,neutral",0,0,0,1,5,-,250,25,-,-,-,-,-,-,-,-,,Bhea,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Ahwd,Ahwd,Healing Ward,0,1,0,0,unit,orc,1,1,0,0,0,_,0,30,30,0,200,-,500,-,-,-,-,-,-,-,-,-,ohwd,Bhwd,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
AChw,Ahwd,Healing Ward (creep),0,1,0,0,unit,creeps,0,1,0,0,0,_,0,30,30,0,200,-,500,-,-,-,-,-,-,-,-,-,ohwd,Bhwd,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
AChv,AOhw,Healing Wave(Creep),1,1,0,0,unit,creeps,1,1,0,0,0,"air,ground,friend,self,vuln,invu,organic",0,0,0,9,90,500,700,215,4,0.25,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Ahnl,Aroa,null roar (summoner),1,1,0,0,unit,naga,0,1,0,0,0,notself,0,0,0,0,50,50,-,0,0,0,0,0,0,0,-,-,,Broa,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,0
AHer,AHer,Hero,0,0,0,0,unit,other,1,0,0,0,0,_,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
AChx,AOhx,Hex (Creep),1,1,0,0,unit,creeps,1,1,0,0,0,"air,ground,enemy,organic,neutral",0,15,5,17,100,-,800,99,"npig,nsea,ncrb,nhmc,nrat","nalb,nvul,nsno","nsha,npng","nshw,npnw",-,-,-,-,,BOhx,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Acht,ANht,Howl of Terror,1,1,0,0,unit,creeps,1,1,0,0,0,"air,ground,enemy,neutral",0,10,10,12,100,800,-,0.25,0,0,-,-,-,-,-,-,,BNht,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
ACim,AEim,Immolation (creep),0,1,0,0,unit,creeps,0,1,0,0,0,"ground,enemy,neutral,organic",0,1,1,0,25,220,-,10,7,10,-,-,-,-,-,-,,"BEim,BEia",,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
ACmp,AUim,Impale(Creep),1,1,0,0,unit,creeps,1,1,0,0,0,"ground,enemy,neutral,organic",0,2,1,11,100,200,700,600,0.3,50,1,-,-,-,-,-,,BUim,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Aimp,Aimp,Impaling Bolt,0,1,0,0,unit,nightelf,1,1,0,0,0,_,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Ainf,Ainf,Inner Fire,0,1,0,0,unit,human,1,1,0,0,10,"air,ground,friend,neutral,self",0,60,60,1,35,-,500,0.1,5,500,0,-,-,-,-,-,,Binf,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
ACif,Ainf,Inner Fire (Creep),0,1,0,0,unit,creeps,0,1,0,0,10,"air,ground,friend,neutral,self",0,60,60,5,75,-,500,0.1,5,500,0,-,-,-,-,-,,Binf,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Aivs,Aivs,Invisibility,0,1,0,0,unit,human,1,1,0,0,0,"air,ground,organic,friend,nonsapper,neutral",0,120,120,0,50,-,300,0,-,-,-,-,-,-,-,-,,Binv,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
AInv,AInv,Inventory,0,1,0,0,unit,other,1,1,0,0,0,_,0,0,0,0,0,-,-,6,0,1,1,1,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Apak,AInv,Inventory (Pack Mule),1,1,0,0,unit,orc,1,1,0,0,0,_,0,0,0,0,0,-,-,4,1,0,1,1,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Aion,AInv,Inventory(2 slot unit) Orc,1,1,0,0,unit,other,1,1,0,0,0,_,0,0,0,0,0,-,-,2,1,0,1,1,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Aihn,AInv,Inventory(2 slot unit) Human,1,1,0,0,unit,other,1,1,0,0,0,_,0,0,0,0,0,-,-,2,1,0,1,1,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Aien,AInv,Inventory(2 slot unit) Night Elf,1,1,0,0,unit,other,1,1,0,0,0,_,0,0,0,0,0,-,-,2,1,0,1,1,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Aiun,AInv,Inventory(2 slot unit) Undead,1,1,0,0,unit,other,1,1,0,0,0,_,0,0,0,0,0,-,-,2,1,0,1,1,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Avul,Avul,Invulnerable,0,1,0,0,unit,other,1,1,0,0,0,_,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Alit,Alit,Lightning Attack,0,1,0,0,unit,nightelf,1,1,0,0,0,"air,ground,structure,ward,item,debris",0,0,0,0,0,-,-,0.25,0.25,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Alsh,Alsh,Lightning Shield,0,1,0,0,unit,orc,1,1,0,0,0,"ground,friend,enemy,neutral",0,20,20,3,100,160,600,20,-,-,-,-,-,-,-,-,,"Blsh,Blsa",,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
ACls,Alsh,Lightning Shield (creep),0,1,0,0,unit,creeps,0,1,0,0,0,"ground,friend,enemy,neutral",0,20,20,8,100,160,600,20,-,-,-,-,-,-,-,-,,"Blsh,Blsa",,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Aliq,Aliq,Liquid Fire,1,1,0,0,unit,orc,1,1,0,0,0,"structure,enemy,neutral",0,3,3,0,0,0,-,8,0,0.8,0,-,-,-,-,-,,Bliq,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Aloa,Aloa,Load,0,1,0,0,unit,other,1,1,0,0,0,"ground,friend,invu,vuln",0,0,0,0,0,-,80,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Sloa,Aloa,Load (Burrow),0,1,0,0,unit,orc,1,1,0,0,0,"ground,friend,invu,vuln",0,0,0,0,0,-,99999,,-,-,-,-,-,-,-,-,opeo,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Slo2,Aloa,Load (Entangled Gold Mine),0,1,0,0,unit,nightelf,1,1,0,0,0,"ground,friend,invu,vuln",0,0,0,0,0,-,99999,,-,-,-,-,-,-,-,-,ewsp,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Slo3,Aloa,Load (Navies),1,1,0,0,unit,other,1,1,0,0,0,"ground,friend,invu,vuln",0,0,0,0,0,-,64,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Atlp,Atlp,Load Pilot,0,0,0,0,unit,human,1,1,0,0,0,"ground,player,invu,vuln",0,0,0,0,0,-,80,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Aloc,Aloc,Locust,1,0,0,0,unit,undead,0,1,0,0,0,_,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Amdf,Amdf,Magic Defense,1,1,0,0,unit,human,1,1,0,0,0,_,0,0,0,0,0,-,-,1,1,0.33,0,0.33,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Amim,Amim,Magic Immunity,0,1,0,0,unit,nightelf,1,1,0,0,0,_,0,0,0,0,0,-,-,0,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
ACmi,Amim,Magic Immunity (Creep),0,1,0,0,unit,creeps,0,1,0,0,0,_,0,0,0,0,0,-,-,0,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
ACm2,Amim,Magic Immunity (Archimonde),0,1,0,0,unit,creeps,0,1,0,0,0,_,0,0,0,0,0,-,-,0,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
ACm3,Amim,Magic Immunity (Dragons),0,1,0,0,unit,creeps,0,1,0,0,0,_,0,0,0,0,0,-,-,0,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Amls,Amls,Aerial Shackles,1,1,0,0,unit,human,1,1,0,0,0,"air,enemy,organic",0,40,10,30,75,-,550,30,-,-,-,-,-,-,-,-,,"Bmlc,Bmlt",,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Ambt,Ambt,Mana Battery,0,1,0,0,unit,nightelf,1,1,0,0,0,"air,ground,invu,vuln,friend,organic",0,0,0,0,0,400,99999,2,0.5,10,30,1,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Amb2,Ambt,Mana Battery (Obsidian Statue),1,1,0,0,unit,undead,1,1,0,0,0,"air,ground,invu,vuln,friend",0,0,0,0,0,400,900,1,0,10,-1,0,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Amnb,AEmb,Mana Burn (demon),0,1,0,0,unit,creeps,1,1,0,0,0,"air,ground,enemy,neutral",0,0,0,9,50,MBUR,450,100,0.25,1,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Ambd,AEmb,Mana Burn (demon),0,1,0,0,unit,creeps,1,1,0,0,0,"air,ground,enemy,neutral",0,0,0,9,50,MBUR,450,100,0.25,1,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Ambb,AEmb,Mana Burn (Hotkey B),0,1,0,0,unit,creeps,1,1,0,0,0,"air,ground,enemy,neutral",0,0,0,9,50,MBUR,450,100,0.25,1,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Amfl,Amfl,Mana Flare,1,1,0,0,unit,nightelf,1,1,0,0,0,"air,ground,enemy",0.75,30,30,20,50,750,200,3,1,90,50,12,1,-,-,-,,"Bmfl,Bmfa",,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
ACmf,ANms,Mana Shield(Creep),1,1,0,0,unit,creeps,1,1,0,0,0,"ground,friend,vuln,invu",0,0,0,10,25,-,128,2,1,-,-,-,-,-,-,-,,BNms,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Amed,Amed,Meat Drop,0,1,0,0,unit,undead,1,1,0,0,0,_,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Amel,Amel,Meat Load,0,1,0,0,unit,undead,1,1,0,0,0,"ground,dead,nonhero",0,0,0,0,0,600,100,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Amil,Amil,Militia,0,1,0,0,unit,human,1,1,0,0,0,_,0,45,45,0,0,-,-,hpea,hmil,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Amic,Amic,Militia Conversion,0,1,0,0,unit,human,1,1,0,0,0,_,0,0,0,0,0,2000,50,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
ANmr,ANmr,Mind Rot,1,1,0,0,unit,creeps,1,1,0,0,0,_,0,30,10,0,0,-,-,5,-,-,-,-,-,-,-,-,,BNmr,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Amin,Amin,Mine,0,1,0,0,unit,other,1,1,0,0,0,_,0,0,0,0,0,-,200,10,2,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
